Title,Body,Labels,Assignees,Milestone
"A1: Initialize monorepo, CI and quality gates","**Goal**  
Deterministic dev setup with CI on push and lint/test gates.

**Acceptance Criteria**  
- `make setup && make test` succeeds on a clean checkout.  
- GitHub Actions pipeline with jobs: python lint+tests, node lint+build, docker build, commitlint.  
- Pre-commit hooks for black, isort, ruff, eslint, prettier.  
- Repo structure: backend(Django+DRF+Celery+Redis), frontend(React+Vite+TS+MUI), ops(CI, scripts), docs(ADR, CONTRIBUTING), tests, seed.  

**Dependencies**  
None.

**Agent Prompt**  
```
You are a senior platform engineer. Create a monorepo ""mpm"" with:
- backend: Django 5 + DRF, Postgres, Redis, Celery; poetry; settings via env; healthcheck endpoint.
- frontend: React + Vite + TypeScript + MUI; router; .env support; basic layout shell.
- ops: GitHub Actions CI: python lint+tests; node lint+build; docker build; commitlint.
- tests: pytest with coverage; Playwright scaffold for FE.
- docs: ADR-0001 tech stack; CONTRIBUTING; Makefile targets (setup, run, test).
Enforce black, ruff, isort; eslint+tsc strict. Add pre-commit hooks. Output full tree and key files.
```","phase:1, epic:A, area:platform, type:chore",,MVP
A2: Base domain models & migrations,"**Goal**  
Models for Project, SwimlaneTask, File (versioned), Revision, SampleOrder, Shipment, Event (append-only).

**Acceptance Criteria**  
- Postgres migrations created and applied.  
- DRF serializers and Django admin registered for quick inspection.  
- `factory_boy` factories and pytest model invariant tests.  

**Dependencies**  
A1.

**Agent Prompt**  
```
Read /mnt/data/corrugation_packaging_project_manager_system_design_v_1.md sections 11 and 10.
Implement Django models for all entities listed in §11 and an immutable Event store.
Add DRF serializers + admin, migrations, factories, and tests. Return code and tests.
```","phase:1, epic:A, area:backend, type:feat",,MVP
A3: RBAC and role permissions,"**Goal**  
Enforce role-based permissions (CSR, Structural, Graphics, Sample, DesignMgr, Logistics, Admin).

**Acceptance Criteria**  
- Custom DRF permission classes per role and stage.  
- Unit tests ensure CSR is read-only during Structural/Graphics/Sample and regains edit after Pricing/Quoting.  

**Dependencies**  
A2.

**Agent Prompt**  
```
Implement role-based access as specified in §1 (RBAC Highlights).
Add custom Django permission classes for each role and stage rules.
Include test matrix for role x stage access.
```","phase:1, epic:A, area:security, type:feat",,MVP
B1: Project lifecycle state machine + Events,"**Goal**  
Valid state transitions with events emission.

**Acceptance Criteria**  
- POST /projects/{id}/transition enforces valid transitions; invalid => 422 with reason.
- Each transition appends Event {actor, type, payload, ts}.
- Unit tests: happy paths + invalid transitions; event emission asserted.

**Dependencies**  
A2, A3.

**Agent Prompt**  
```
Create an FSM for Project reflecting §2 Main States and Rules.
Expose /transition endpoint; write Events on change; block invalid transitions.
Provide tests.
```","phase:1, epic:B, area:backend, type:feat",,MVP
B2: Swimlanes: Structural & Graphics with gating,"**Goal**  
Graphics starts only after Structural baselineReadyAt; record timings.

**Acceptance Criteria**  
- /tasks endpoints for Structural and Graphics.
- Graphics cannot start until Structural baselineReadyAt set.
- Timestamps for start/complete; lead time computed.
- Tests for gating and timestamps.

**Dependencies**  
B1.

**Agent Prompt**  
```
Implement /tasks endpoints for Structural and Graphics per §5.
Gate Graphics on Structural baselineReadyAt.
Record start/complete timestamps; compute lead times. Tests included.
```","phase:1, epic:B, area:backend, type:feat",,MVP
B3: Files API with versioning,"**Goal**  
Versioned uploads; immutability of prior versions.

**Acceptance Criteria**  
- Upload increments version; GET latest or by ?version=.
- Storage abstraction (local FS now; MinIO-ready).
- Prior versions read-only.
- Tests for version increment & immutability.

**Dependencies**  
A2.

**Agent Prompt**  
```
Implement File upload endpoints with versioning (cad|dieline|proof|photo|label).
Immutability for older versions; storage abstraction.
Tests verifying version increments and immutability.
```","phase:1, epic:B, area:backend, type:feat",,MVP
B4: Project chat & system notes,"**Goal**  
Project-scoped threads, with backend-generated system notes on transitions.

**Acceptance Criteria**  
- /projects/{id}/threads (create, list, post).  
- Message types: user, system; only backend can create 'system'.  
- RBAC: all project members read; posting per role.  
- Tests for permissions and system note creation on transitions.

**Dependencies**  
B1.

**Agent Prompt**  
```
Add project threads with message types user|system.
System notes created on state transitions. Enforce RBAC. Provide tests.
```","phase:1, epic:B, area:backend, type:feat",,MVP
C1: Intake API & validation,"**Goal**  
CSR can create a project with validations; difficulty/priority captured.

**Acceptance Criteria**  
- POST /api/projects validates §4 fields; returns 201 + ProjectCreated event.
- Tests: required/optional fields; invalid payloads.

**Dependencies**  
A2, B1.

**Agent Prompt**  
```
Create POST /api/projects with fields & validations from §4.
Emit ProjectCreated event. Provide tests.
```","phase:1, epic:C, area:backend, type:feat",,MVP
C2: Triage queue & rush approvals,"**Goal**  
Triage filters & rush approval workflow.

**Acceptance Criteria**  
- GET /triage/queue supports filters (difficulty, skills).
- Rush requires Design Manager approval event before assignment.
- Tests for approval gating.

**Dependencies**  
C1, B1.

**Agent Prompt**  
```
Add triage queue endpoint and rush approval flow:
POST /projects/{id}/rush-request and /rush-approve.
Block assignments until approved when rush is set. Tests included.
```","phase:1, epic:C, area:backend, type:feat",,MVP
C3: Manual assignment endpoints,"**Goal**  
Design Manager can assign Structural/Graphics tasks.

**Acceptance Criteria**  
- POST /tasks/{taskId}/assign {assigneeId}; emits Assigned* events.  
- RBAC: only Design Manager (override rules).  
- Tests for permissions & events.

**Dependencies**  
C2.

**Agent Prompt**  
```
Implement manual assignment with RBAC and event emission.
Endpoint: POST /tasks/{taskId}/assign {assigneeId}. Tests included.
```","phase:1, epic:C, area:backend, type:feat",,MVP
